id,manufacturer_id,name,created_at,updated_at
1,9,Irwindale,"2014-11-17 00:01:26.560542","2014-11-17 00:01:26.560542"
2,9,Cranford,"2014-11-17 00:01:26.768778","2014-11-17 00:01:26.768778"
3,9,Prescott,"2014-11-17 00:01:26.821974","2014-11-17 00:01:26.821974"
4,9,"Cedar Mill","2014-11-17 00:01:27.354981","2014-11-17 00:01:27.354981"
5,9,Banias,"2014-11-17 00:01:27.425035","2014-11-17 00:01:27.425035"
6,9,Dothan,"2014-11-17 00:01:27.499098","2014-11-17 00:01:27.499098"
7,9,Yonah,"2014-11-17 00:01:27.595207","2014-11-17 00:01:27.595207"
8,9,"Coppermine T","2014-11-17 00:01:27.784253","2014-11-17 00:01:27.784253"
9,9,Tualatin,"2014-11-17 00:01:27.828707","2014-11-17 00:01:27.828707"
10,9,Northwood,"2014-11-17 00:01:28.012095","2014-11-17 00:01:28.012095"
11,9,Mendocino,"2014-11-17 00:01:28.263382","2014-11-17 00:01:28.263382"
12,9,Dempsey,"2014-11-17 00:01:28.532001","2014-11-17 00:01:28.532001"
13,9,Paxville,"2014-11-17 00:01:28.703943","2014-11-17 00:01:28.703943"
14,9,Merom,"2014-11-17 00:01:29.056693","2014-11-17 00:01:29.056693"
15,9,Foster,"2014-11-17 00:01:29.116338","2014-11-17 00:01:29.116338"
16,9,Tulsa,"2014-11-17 00:01:29.153311","2014-11-17 00:01:29.153311"
17,9,Gallatin,"2014-11-17 00:01:29.328096","2014-11-17 00:01:29.328096"
18,9,Coppermine,"2014-11-17 00:01:29.613471","2014-11-17 00:01:29.613471"
19,9,Willamette,"2014-11-17 00:01:30.444375","2014-11-17 00:01:30.444375"
20,9,Prescott-2M,"2014-11-17 00:01:31.072446","2014-11-17 00:01:31.072446"
21,9,Katmai,"2014-11-17 00:01:31.117097","2014-11-17 00:01:31.117097"
22,9,Tanner,"2014-11-17 00:01:31.174090","2014-11-17 00:01:31.174090"
23,9,Cascades,"2014-11-17 00:01:31.248260","2014-11-17 00:01:31.248260"
24,9,Smithfield,"2014-11-17 00:01:32.024276","2014-11-17 00:01:32.024276"
25,9,Presler,"2014-11-17 00:01:32.058243","2014-11-17 00:01:32.058243"
26,9,Madison,"2014-11-17 00:01:32.249379","2014-11-17 00:01:32.249379"
27,9,Montecito,"2014-11-17 00:01:32.476167","2014-11-17 00:01:32.476167"
28,9,Kentsfield,"2014-11-17 00:01:32.765531","2014-11-17 00:01:32.765531"
29,9,Conroe,"2014-11-17 00:01:32.822663","2014-11-17 00:01:32.822663"
30,9,Sossaman,"2014-11-17 00:01:32.897347","2014-11-17 00:01:32.897347"
31,9,Clovertown,"2014-11-17 00:01:33.170558","2014-11-17 00:01:33.170558"
32,9,Woodcrest,"2014-11-17 00:01:33.238986","2014-11-17 00:01:33.238986"
33,9,Tigerton,"2014-11-17 00:01:33.384527","2014-11-17 00:01:33.384527"
34,9,Montvale,"2014-11-17 00:01:33.708104","2014-11-17 00:01:33.708104"
35,9,Harpertown,"2014-11-17 00:01:34.207667","2014-11-17 00:01:34.207667"
36,9,Penryn,"2014-11-17 00:01:34.325789","2014-11-17 00:01:34.325789"
37,9,Yorkfield,"2014-11-17 00:01:34.526724","2014-11-17 00:01:34.526724"
38,9,Wolfdale,"2014-11-17 00:01:34.729513","2014-11-17 00:01:34.729513"
39,9,Silverthorne,"2014-11-17 00:01:35.051353","2014-11-17 00:01:35.051353"
40,9,Dunnington,"2014-11-17 00:01:35.472390","2014-11-17 00:01:35.472390"
41,9,Bloomfield,"2014-11-17 00:01:35.989654","2014-11-17 00:01:35.989654"
42,9,"Nehalem EP","2014-11-17 00:01:36.619726","2014-11-17 00:01:36.619726"
43,9,Lynnfield,"2014-11-17 00:01:36.824485","2014-11-17 00:01:36.824485"
44,9,Tukwila,"2014-11-17 00:01:37.333711","2014-11-17 00:01:37.333711"
45,9,Clarksfield,"2014-11-17 00:01:37.702089","2014-11-17 00:01:37.702089"
46,9,Arrandale,"2014-11-17 00:01:37.996173","2014-11-17 00:01:37.996173"
47,9,Clarkdale,"2014-11-17 00:01:38.083568","2014-11-17 00:01:38.083568"
48,9,Pineview,"2014-11-17 00:01:38.360139","2014-11-17 00:01:38.360139"
49,9,"Nehalem EX","2014-11-17 00:01:38.444886","2014-11-17 00:01:38.444886"
50,9,Gulftown,"2014-11-17 00:01:39.489843","2014-11-17 00:01:39.489843"
51,9,Lincroft,"2014-11-17 00:01:40.285545","2014-11-17 00:01:40.285545"
52,9,Dixon,"2014-11-17 00:01:40.704791","2014-11-17 00:01:40.704791"
53,9,N/A,"2014-11-17 00:01:40.849899","2014-11-17 00:01:40.849899"
54,9,"Sandy Bridge","2014-11-17 00:01:41.302658","2014-11-17 00:01:41.302658"
55,9,"Westmere EP","2014-11-17 00:01:41.936755","2014-11-17 00:01:41.936755"
56,9,"Westmere EX","2014-11-17 00:01:43.398657","2014-11-17 00:01:43.398657"
57,9,Cedarview,"2014-11-17 00:01:44.692285","2014-11-17 00:01:44.692285"
58,9,"Sandy Bridge-E","2014-11-17 00:01:44.987471","2014-11-17 00:01:44.987471"
59,9,"Sandy Bridge E","2014-11-17 00:01:45.024316","2014-11-17 00:01:45.024316"
60,9,"Sandy Bridge EP","2014-11-17 00:01:45.271913","2014-11-17 00:01:45.271913"
61,9,"Sandy Bridge-EP","2014-11-17 00:01:45.347265","2014-11-17 00:01:45.347265"
62,9,"Sandy Bridge EN","2014-11-17 00:01:46.023151","2014-11-17 00:01:46.023151"
63,9,"Sandy Bridge-EN","2014-11-17 00:01:46.191189","2014-11-17 00:01:46.191189"
64,9,"Ivy Bridge","2014-11-17 00:01:46.418184","2014-11-17 00:01:46.418184"
65,1,DX,"2014-11-17 00:01:47.772698","2014-11-17 00:01:47.772698"
66,1,Pluto,"2014-11-17 00:01:47.881163","2014-11-17 00:01:47.881163"
67,1,Thunderbird,"2014-11-17 00:01:48.181507","2014-11-17 00:01:48.181507"
68,1,ClawHammer,"2014-11-17 00:01:48.530244","2014-11-17 00:01:48.530244"
69,1,SledgeHammer,"2014-11-17 00:01:48.655206","2014-11-17 00:01:48.655206"
70,1,"San Diego","2014-11-17 00:01:48.752409","2014-11-17 00:01:48.752409"
71,1,Toledo,"2014-11-17 00:01:48.788216","2014-11-17 00:01:48.788216"
72,1,Windsor,"2014-11-17 00:01:48.840691","2014-11-17 00:01:48.840691"
73,1,Manchester,"2014-11-17 00:01:48.887869","2014-11-17 00:01:48.887869"
74,1,Brisbane,"2014-11-17 00:01:48.942083","2014-11-17 00:01:48.942083"
75,1,Tyler,"2014-11-17 00:01:49.040267","2014-11-17 00:01:49.040267"
76,1,Lion,"2014-11-17 00:01:49.074450","2014-11-17 00:01:49.074450"
77,1,Propus,"2014-11-17 00:01:49.127643","2014-11-17 00:01:49.127643"
78,1,Palomino,"2014-11-17 00:01:49.182025","2014-11-17 00:01:49.182025"
79,1,Thoroughbred,"2014-11-17 00:01:49.465359","2014-11-17 00:01:49.465359"
80,1,Kuma,"2014-11-17 00:01:49.574210","2014-11-17 00:01:49.574210"
81,1,Barton,"2014-11-17 00:01:50.072034","2014-11-17 00:01:50.072034"
82,1,SSA/5,"2014-11-17 00:01:50.171656","2014-11-17 00:01:50.171656"
83,1,"Model 6","2014-11-17 00:01:50.360223","2014-11-17 00:01:50.360223"
84,1,"Little Foot","2014-11-17 00:01:50.425850","2014-11-17 00:01:50.425850"
85,1,Chomper,"2014-11-17 00:01:50.472851","2014-11-17 00:01:50.472851"
86,1,"Chomper Extended","2014-11-17 00:01:50.523804","2014-11-17 00:01:50.523804"
87,1,Sharptooth,"2014-11-17 00:01:50.609121","2014-11-17 00:01:50.609121"
88,1,Venus,"2014-11-17 00:01:50.834257","2014-11-17 00:01:50.834257"
89,1,Denmark,"2014-11-17 00:01:50.930194","2014-11-17 00:01:50.930194"
90,1,Troy,"2014-11-17 00:01:51.058088","2014-11-17 00:01:51.058088"
91,1,Italy,"2014-11-17 00:01:51.219405","2014-11-17 00:01:51.219405"
92,1,Athens,"2014-11-17 00:01:51.383884","2014-11-17 00:01:51.383884"
93,1,Egypt,"2014-11-17 00:01:51.486906","2014-11-17 00:01:51.486906"
94,1,"Santa Ana","2014-11-17 00:01:51.580746","2014-11-17 00:01:51.580746"
95,1,Budapest,"2014-11-17 00:01:51.749070","2014-11-17 00:01:51.749070"
96,1,"Santa Rosa","2014-11-17 00:01:51.850299","2014-11-17 00:01:51.850299"
97,1,Barcelona,"2014-11-17 00:01:52.152707","2014-11-17 00:01:52.152707"
98,1,Shanghai,"2014-11-17 00:01:52.222416","2014-11-17 00:01:52.222416"
99,1,Istanbul,"2014-11-17 00:01:52.304911","2014-11-17 00:01:52.304911"
100,1,Heka,"2014-11-17 00:01:52.666315","2014-11-17 00:01:52.666315"
101,1,Deneb,"2014-11-17 00:01:52.735880","2014-11-17 00:01:52.735880"
102,1,Toliman,"2014-11-17 00:01:53.032209","2014-11-17 00:01:53.032209"
103,1,Agena,"2014-11-17 00:01:53.077438","2014-11-17 00:01:53.077438"
104,1,Lancaster,"2014-11-17 00:01:53.212851","2014-11-17 00:01:53.212851"
105,1,Trinidad,"2014-11-17 00:01:53.262805","2014-11-17 00:01:53.262805"
106,20,Zephyr,"2014-11-17 00:01:53.349987","2014-11-17 00:01:53.349987"
107,21,M1,"2014-11-17 00:01:53.617854","2014-11-17 00:01:53.617854"
108,21,M2,"2014-11-17 00:01:53.661506","2014-11-17 00:01:53.661506"
109,21,Joshua,"2014-11-17 00:01:53.746852","2014-11-17 00:01:53.746852"
110,3,EV4,"2014-11-17 00:01:53.817111","2014-11-17 00:01:53.817111"
111,3,EV45,"2014-11-17 00:01:54.200808","2014-11-17 00:01:54.200808"
112,3,LCA45,"2014-11-17 00:01:54.402515","2014-11-17 00:01:54.402515"
113,3,EV5,"2014-11-17 00:01:54.549456","2014-11-17 00:01:54.549456"
114,3,EV56,"2014-11-17 00:01:54.776386","2014-11-17 00:01:54.776386"
115,3,PCA56,"2014-11-17 00:01:55.280046","2014-11-17 00:01:55.280046"
116,3,PCA57,"2014-11-17 00:01:55.344816","2014-11-17 00:01:55.344816"
117,3,EV6,"2014-11-17 00:01:55.404596","2014-11-17 00:01:55.404596"
118,3,EV67,"2014-11-17 00:01:55.579871","2014-11-17 00:01:55.579871"
119,3,EV68A,"2014-11-17 00:01:55.760823","2014-11-17 00:01:55.760823"
120,3,EV68CB,"2014-11-17 00:01:55.889179","2014-11-17 00:01:55.889179"
121,3,EV7,"2014-11-17 00:01:55.998368","2014-11-17 00:01:55.998368"
122,3,EV7z,"2014-11-17 00:01:56.116607","2014-11-17 00:01:56.116607"
123,4,Swift,"2014-11-17 00:01:56.185797","2014-11-17 00:01:56.185797"
124,4,Zeus,"2014-11-17 00:01:56.871891","2014-11-17 00:01:56.871891"
125,4,Olympus-B,"2014-11-17 00:01:57.116006","2014-11-17 00:01:57.116006"
126,4,Jupiter,"2014-11-17 00:01:57.368404","2014-11-17 00:01:57.368404"
127,6,Thunderbird,"2014-11-17 00:01:57.749197","2014-11-17 00:01:57.749197"
128,6,Hummingbird,"2014-11-17 00:01:57.941333","2014-11-17 00:01:57.941333"
129,6,"Thunderbird'","2014-11-17 00:01:58.433204","2014-11-17 00:01:58.433204"
130,6,Onyx,"2014-11-17 00:01:58.625088","2014-11-17 00:01:58.625088"
131,6,Vulcan,"2014-11-17 00:01:58.710242","2014-11-17 00:01:58.710242"
132,6,Landshark,"2014-11-17 00:01:59.077762","2014-11-17 00:01:59.077762"
133,6,Piranha,"2014-11-17 00:01:59.237055","2014-11-17 00:01:59.237055"
134,7,P2SC,"2014-11-17 00:01:59.453850","2014-11-17 00:01:59.453850"
135,7,RIOS2,"2014-11-17 00:01:59.506991","2014-11-17 00:01:59.506991"
136,7,Power2+,"2014-11-17 00:01:59.565627","2014-11-17 00:01:59.565627"
137,7,"Giga Processor","2014-11-17 00:02:00.026160","2014-11-17 00:02:00.026160"
138,7,Arthur,"2014-11-17 00:02:00.664992","2014-11-17 00:02:00.664992"
139,7,GP-UL,"2014-11-17 00:02:00.745021","2014-11-17 00:02:00.745021"
140,7,"Mach 5","2014-11-17 00:02:01.681168","2014-11-17 00:02:01.681168"
141,7,Sstar,"2014-11-17 00:02:01.936118","2014-11-17 00:02:01.936118"
142,7,Northstar,"2014-11-17 00:02:02.021173","2014-11-17 00:02:02.021173"
143,7,Pulsar,"2014-11-17 00:02:02.120643","2014-11-17 00:02:02.120643"
144,9,Diamondville,"2014-11-17 00:02:02.998163","2014-11-17 00:02:02.998163"
145,9,"Tunnel Creek","2014-11-17 00:02:03.133359","2014-11-17 00:02:03.133359"
146,9,Stellarton,"2014-11-17 00:02:03.172947","2014-11-17 00:02:03.172947"
147,9,Conroe-L,"2014-11-17 00:02:03.363753","2014-11-17 00:02:03.363753"
148,9,Covington,"2014-11-17 00:02:03.484732","2014-11-17 00:02:03.484732"
149,9,Allendale,"2014-11-17 00:02:03.999598","2014-11-17 00:02:03.999598"
150,9,Wolfdale-3M,"2014-11-17 00:02:04.508867","2014-11-17 00:02:04.508867"
151,9,Penryn-3M,"2014-11-17 00:02:04.823741","2014-11-17 00:02:04.823741"
152,9,Merced,"2014-11-17 00:02:07.437809","2014-11-17 00:02:07.437809"
153,9,Mckinley,"2014-11-17 00:02:07.520269","2014-11-17 00:02:07.520269"
154,9,P5,"2014-11-17 00:02:08.094828","2014-11-17 00:02:08.094828"
155,9,"Prescott 2M","2014-11-17 00:02:08.884005","2014-11-17 00:02:08.884005"
156,9,P55C,"2014-11-17 00:02:10.614281","2014-11-17 00:02:10.614281"
157,9,Nehalem-EP,"2014-11-17 00:02:12.281941","2014-11-17 00:02:12.281941"
158,9,Westmere-EP,"2014-11-17 00:02:12.490944","2014-11-17 00:02:12.490944"
159,9,"Jasper Forest","2014-11-17 00:02:12.715773","2014-11-17 00:02:12.715773"
160,17,T5,"2014-11-17 00:02:15.258015","2014-11-17 00:02:15.258015"
161,17,Orion,"2014-11-17 00:02:15.872543","2014-11-17 00:02:15.872543"
162,10,Max,"2014-11-17 00:02:16.826659","2014-11-17 00:02:16.826659"
163,10,"Apollo 6","2014-11-17 00:02:16.863796","2014-11-17 00:02:16.863796"
164,25,"Colorado 2","2014-11-17 00:02:16.990382","2014-11-17 00:02:16.990382"
165,25,"Colorado 3","2014-11-17 00:02:17.070458","2014-11-17 00:02:17.070458"
166,25,"Colorado 1","2014-11-17 00:02:17.110636","2014-11-17 00:02:17.110636"
167,19,Tsunami,"2014-11-17 00:02:17.414050","2014-11-17 00:02:17.414050"
168,19,Viking,"2014-11-17 00:02:17.574413","2014-11-17 00:02:17.574413"
169,19,Voyager,"2014-11-17 00:02:17.708481","2014-11-17 00:02:17.708481"
170,19,Spitfire,"2014-11-17 00:02:17.790082","2014-11-17 00:02:17.790082"
171,19,Blackbird,"2014-11-17 00:02:17.967260","2014-11-17 00:02:17.967260"
172,19,Sapphire-Black,"2014-11-17 00:02:18.093461","2014-11-17 00:02:18.093461"
173,19,Hummingbird,"2014-11-17 00:02:18.230001","2014-11-17 00:02:18.230001"
174,19,Sabre,"2014-11-17 00:02:18.277610","2014-11-17 00:02:18.277610"
175,19,Sapphire-Red,"2014-11-17 00:02:18.461849","2014-11-17 00:02:18.461849"
176,19,Phantom,"2014-11-17 00:02:18.554648","2014-11-17 00:02:18.554648"
177,19,Cheetah,"2014-11-17 00:02:18.611411","2014-11-17 00:02:18.611411"
178,19,Cheetah+,"2014-11-17 00:02:18.767248","2014-11-17 00:02:18.767248"
179,19,Jalepeno,"2014-11-17 00:02:18.889548","2014-11-17 00:02:18.889548"
180,19,Niagara,"2014-11-17 00:02:19.093576","2014-11-17 00:02:19.093576"
181,19,"Niagara 2","2014-11-17 00:02:19.156338","2014-11-17 00:02:19.156338"
182,9,Haswell,"2014-11-17 00:02:20.540804","2014-11-17 00:02:20.540804"
183,9,Nocona,"2014-11-17 00:02:20.794505","2014-11-17 00:02:20.794505"
184,9,Potomac,"2014-11-17 00:02:20.906822","2014-11-17 00:02:20.906822"
185,9,Prestonia,"2014-11-17 00:02:22.045252","2014-11-17 00:02:22.045252"
186,9,Cedarmill,"2014-11-17 00:02:23.119855","2014-11-17 00:02:23.119855"
187,9,Cloverview,"2014-11-17 00:02:26.330786","2014-11-17 00:02:26.330786"
188,9,Briarwood,"2014-11-17 00:02:27.124512","2014-11-17 00:02:27.124512"
189,9,Poulson,"2014-11-17 00:02:27.385439","2014-11-17 00:02:27.385439"
190,9,"Knights Corner","2014-11-17 00:02:27.614445","2014-11-17 00:02:27.614445"
191,9,"Crystal Well","2014-11-17 00:02:30.128709","2014-11-17 00:02:30.128709"
192,9,"Bay Trail","2014-11-17 00:02:30.639569","2014-11-17 00:02:30.639569"
193,9,Avoton,"2014-11-17 00:02:31.713743","2014-11-17 00:02:31.713743"
194,9,Gladden,"2014-11-17 00:02:31.956709","2014-11-17 00:02:31.956709"
195,9,Penwell,"2014-11-17 00:02:34.332298","2014-11-17 00:02:34.332298"
196,9,Merrifield,"2014-11-17 00:02:34.392144","2014-11-17 00:02:34.392144"
197,9,Centerton,"2014-11-17 00:02:34.521727","2014-11-17 00:02:34.521727"
198,9,"Ivy Bridge EN","2014-11-17 00:02:35.289794","2014-11-17 00:02:35.289794"
199,9,"Ivy Bridge EP","2014-11-17 00:02:35.379966","2014-11-17 00:02:35.379966"
200,9,"Ivy Bridge E","2014-11-17 00:02:36.688369","2014-11-17 00:02:36.688369"
201,9,"Devil's Canyon","2014-11-17 00:02:38.023253","2014-11-17 00:02:38.023253"
202,9,Moorefield,"2014-11-17 00:02:39.210649","2014-11-17 00:02:39.210649"
203,9,"Haswell E","2014-11-17 00:02:40.004206","2014-11-17 00:02:40.004206"
204,9,Broadwell,"2014-11-17 00:02:40.733715","2014-11-17 00:02:40.733715"
205,9,"Pine Cove","2014-11-17 00:02:40.848541","2014-11-17 00:02:40.848541"
