id,created_at,updated_at,manufacturer_id,name,year,technology,feature_size,channel_length,metal_layers,metal,gate_type,vdd_nom,vth,source
1,"2014-11-17 00:01:22.776810","2014-11-17 00:01:22.776810",1,,2007,CMOS,0.045,0.025,,,,,,
2,"2014-11-17 00:01:22.792141","2014-11-17 00:01:22.792141",1,,2006,CMOS,0.065,0.035,10,copper,,,,http://www.semiconductor.com/resources/press_releases/2006_12_05_1.asp
3,"2014-11-17 00:01:22.804523","2014-11-17 00:01:22.804523",1,,2005,CMOS,0.09,0.053,,,,1.4,,
4,"2014-11-17 00:01:22.816299","2014-11-17 00:01:22.816299",1,,2003,CMOS,0.13,0.07,,,,,,
5,"2014-11-17 00:01:22.828957","2014-11-17 00:01:22.828957",1,,1999,CMOS,0.18,0.1,,,,,,http://en.wikipedia.org/wiki/Athlon#Athlon_.22Classic.22
6,"2014-11-17 00:01:22.840549","2014-11-17 00:01:22.840549",1,,1998,CMOS,0.25,0.25,5,,,2.2,,
7,"2014-11-17 00:01:22.853069","2014-11-17 00:01:22.853069",1,,1999,CMOS,0.25,0.25,6,copper,,1.8,,
8,"2014-11-17 00:01:22.865162","2014-11-17 00:01:22.865162",1,,1997,CMOS,0.35,0.35,5,,,3.3,,
9,"2014-11-17 00:01:22.876324","2014-11-17 00:01:22.876324",1,,1993,CMOS,0.5,0.5,3,,,,,
10,"2014-11-17 00:01:22.889124","2014-11-17 00:01:22.889124",1,,1991,CMOS,0.8,0.8,,,,,,http://www.cpu-world.com/CPUs/80386/AMD-NG80386DX-40.html
11,"2014-11-17 00:01:22.901665","2014-11-17 00:01:22.901665",1,CS44E-mod,1999,CMOS,0.25,0.25,6,aluminum,,1.6,,http://en.wikipedia.org/wiki/Athlon#Athlon_.22Classic.22
12,"2014-11-17 00:01:22.929622","2014-11-17 00:01:22.929622",2,,1992,CMOS,0.65,0.65,2,,,5,,http://en.wikipedia.org/wiki/HyperSPARC#Physical
13,"2014-11-17 00:01:22.941655","2014-11-17 00:01:22.941655",2,,1989,CMOS,0.8,0.8,2,,,5,,
14,"2014-11-17 00:01:22.966302","2014-11-17 00:01:22.966302",3,CMOS-4,1992,CMOS,0.75,0.75,3,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21064#Fabrication
15,"2014-11-17 00:01:22.980446","2014-11-17 00:01:22.980446",3,CMOS-4S,1993,CMOS,0.675,0.675,3,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21064#Fabrication
16,"2014-11-17 00:01:22.996037","2014-11-17 00:01:22.996037",3,CMOS-5,1993,CMOS,0.5,0.5,4,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21064#Alpha_21064A
17,"2014-11-17 00:01:23.011238","2014-11-17 00:01:23.011238",3,CMOS-6,1995,CMOS,0.35,0.35,4,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21164#Alpha_21164_.28EV56.29
18,"2014-11-17 00:01:23.024784","2014-11-17 00:01:23.024784",3,CMOS-6,1996,CMOS,0.35,0.35,6,,,3.3,,http://alasir.com/articles/alpha_history/alpha_21264.html
19,"2014-11-17 00:01:23.051803","2014-11-17 00:01:23.051803",4,,1994,CMOS,0.5,0.5,3,,,3.3,,
20,"2014-11-17 00:01:23.065800","2014-11-17 00:01:23.065800",4,CS-55,1995,CMOS,0.4,0.4,4,,,3.3,,http://en.wikipedia.org/wiki/SPARC64#SPARC64_GP
21,"2014-11-17 00:01:23.078685","2014-11-17 00:01:23.078685",4,CS-60,1996,CMOS,0.35,0.35,5,,,,,http://en.wikipedia.org/wiki/SPARC64#SPARC64_GP
22,"2014-11-17 00:01:23.093926","2014-11-17 00:01:23.093926",4,CS-60ALE,1996,CMOS,0.35,0.35,4,,,3.3,,http://en.wikipedia.org/wiki/TurboSPARC
23,"2014-11-17 00:01:23.105302","2014-11-17 00:01:23.105302",4,CS-70,1997,CMOS,0.24,0.24,5,,,2.5,,http://en.wikipedia.org/wiki/SPARC64#SPARC64_GP
24,"2014-11-17 00:01:23.117123","2014-11-17 00:01:23.117123",4,CS-80,2000,CMOS,0.18,,6,copper,,1.8,,http://en.wikipedia.org/wiki/SPARC64#SPARC64_GP
25,"2014-11-17 00:01:23.129979","2014-11-17 00:01:23.129979",4,CS-85,2002,CMOS,0.15,,6,copper,,1.5,,http://en.wikipedia.org/wiki/SPARC64#SPARC64_GP
26,"2014-11-17 00:01:23.152641","2014-11-17 00:01:23.152641",4,CS-100,2005,CMOS,0.09,,,,,,,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf
27,"2014-11-17 00:01:23.168234","2014-11-17 00:01:23.168234",4,CS-200,2008,CMOS,0.065,0.03,11,copper,,,,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf
28,"2014-11-17 00:01:23.196205","2014-11-17 00:01:23.196205",5,,1994,BICMOS,0.5,0.5,4,aluminum,,3.3,,http://www.openpa.net/pa-risc_processor_hitachi-harp-1.html
29,"2014-11-17 00:01:23.225050","2014-11-17 00:01:23.225050",6,CMOS14A,1995,CMOS,0.55,0.55,3,,,4.4,,http://www.openpa.net/pa-risc_processor_pa-7200.html
30,"2014-11-17 00:01:23.239742","2014-11-17 00:01:23.239742",6,CMOS14C,1996,CMOS,0.5,0.5,4,,,3.3,,http://www.openpa.net/pa-risc_processor_pa-7300lc.html
31,"2014-11-17 00:01:23.253933","2014-11-17 00:01:23.253933",6,CMOS14C,1996,CMOS,0.5,0.5,5,aluminum,,3.3,,http://en.wikipedia.org/wiki/PA-8000#Physical
32,"2014-11-17 00:01:23.271192","2014-11-17 00:01:23.271192",6,CMOS26B,1994,CMOS,0.75,0.75,3,aluminum,,,,http://www.openpa.net/pa-risc_processor_pa-7100lc.html
33,"2014-11-17 00:01:23.289106","2014-11-17 00:01:23.289106",6,CMOS26B,1992,CMOS,0.8,0.8,3,,,5,,http://www.openpa.net/pa-risc_processor_pa-7100.html
34,"2014-11-17 00:01:23.303901","2014-11-17 00:01:23.303901",6,CMOS26B,1991,CMOS,1,1,2,,,5,,http://www.openpa.net/pa-risc_processor_pa-7000.html
35,"2014-11-17 00:01:23.329737","2014-11-17 00:01:23.329737",7,,2010,CMOS,0.045,0.025,11,,,,,http://en.wikipedia.org/wiki/POWER7
36,"2014-11-17 00:01:23.344438","2014-11-17 00:01:23.344438",7,,2006,CMOS,0.065,0.035,10,,,0.8,,http://www.realworldtech.com/page.cfm?ArticleID=RWT101606194731
37,"2014-11-17 00:01:23.398712","2014-11-17 00:01:23.398712",7,,2004,CMOS,0.09,,,,,,,http://en.wikipedia.org/wiki/PowerPC_970#PowerPC_970FX
38,"2014-11-17 00:01:23.416022","2014-11-17 00:01:23.416022",7,,2001,CMOS,0.13,,8,copper,,,,http://pvcmuseum.com/cpu/ibm-powerpc-970.htm
39,"2014-11-17 00:01:23.430099","2014-11-17 00:01:23.430099",7,CMOS-8S3,1998,CMOS,0.18,0.1,7,copper,,1.5,,http://en.wikipedia.org/wiki/Alpha_21264#Alpha_21264C
40,"2014-11-17 00:01:23.440419","2014-11-17 00:01:23.440419",7,,1994,CMOS,0.35,0.35,4,,,2.5,,http://en.wikipedia.org/wiki/PowerPC_600#PowerPC_604e
41,"2014-11-17 00:01:23.455616","2014-11-17 00:01:23.455616",7,,1994,CMOS,0.35,0.35,5,,,2.5,,http://www.cpu-world.com/CPUs/PowerPC-603/IBM-PPC603evFB180r.html
42,"2014-11-17 00:01:23.469860","2014-11-17 00:01:23.469860",7,,1993,CMOS,0.72,0.45,4,,,,,http://en.wikipedia.org/wiki/POWER2
43,"2014-11-17 00:01:23.484558","2014-11-17 00:01:23.484558",7,,1996,CMOS,0.65,0.65,3,,,,,http://www.sandpile.org/impl/m1.htm
44,"2014-11-17 00:01:23.504295","2014-11-17 00:01:23.504295",7,CMOS-4S,1993,CMOS,0.6,0.6,4,aluminum,,,,http://en.wikipedia.org/wiki/PowerPC_600
45,"2014-11-17 00:01:23.518130","2014-11-17 00:01:23.518130",7,CMOS-5X,1994,CMOS,0.5,0.45,4,,,,,http://en.wikipedia.org/wiki/PowerPC_600
46,"2014-11-17 00:01:23.532613","2014-11-17 00:01:23.532613",7,CMOS-6S,1996,CMOS,0.29,0.29,5,aluminum,,,,http://en.wikipedia.org/wiki/POWER2
47,"2014-11-17 00:01:23.547411","2014-11-17 00:01:23.547411",7,,1997,CMOS,0.26,0.18,5,,,,,http://ams.cern.ch/AMS/Reports/AMSnote-99_10_02e_d01.ps.gz
48,"2014-11-17 00:01:23.562645","2014-11-17 00:01:23.562645",7,CMOS-6S2,1997,CMOS,0.25,0.18,5,aluminum,,2,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=127490
49,"2014-11-17 00:01:23.580110","2014-11-17 00:01:23.580110",7,CMOS-7S,1999,CMOS,0.22,0.22,6,copper,,,,http://en.wikipedia.org/wiki/POWER3
50,"2014-11-17 00:01:23.606197","2014-11-17 00:01:23.606197",8,,1996,CMOS,0.35,0.35,3,aluminum,,3.3,,http://en.wikipedia.org/wiki/R4600
51,"2014-11-17 00:01:23.620425","2014-11-17 00:01:23.620425",8,,1993,CMOS,0.65,0.65,,,,5,,http://en.wikipedia.org/wiki/R4600
52,"2014-11-17 00:01:23.647751","2014-11-17 00:01:23.647751",9,,1995,BICMOS,0.5,0.5,,,,,,
53,"2014-11-17 00:01:23.662541","2014-11-17 00:01:23.662541",9,,1994,BICMOS,0.6,0.6,4,,,3.3,,http://www.faqs.org/faqs/pc-hardware-faq/chiplist/part3/
54,"2014-11-17 00:01:23.677441","2014-11-17 00:01:23.677441",9,,1992,BICMOS,0.8,0.8,,,,,,
55,"2014-11-17 00:01:23.691002","2014-11-17 00:01:23.691002",9,CHMOS,1976,NMOS,3.2,3.2,2,,,5,,http://en.wikipedia.org/wiki/Intel_8086
56,"2014-11-17 00:01:23.704912","2014-11-17 00:01:23.704912",9,"CHMOS III",1982,NMOS,1.5,1.5,2,,,5,,
57,"2014-11-17 00:01:23.717378","2014-11-17 00:01:23.717378",9,"CHMOS IV",1987,NMOS,1,1,2,,,5,,http://en.wikipedia.org/wiki/Intel_80386
58,"2014-11-17 00:01:23.730945","2014-11-17 00:01:23.730945",9,"CHMOS V",1992,NMOS,0.8,0.8,2,,,5,,http://en.wikipedia.org/wiki/Intel_80386
59,"2014-11-17 00:01:23.744992","2014-11-17 00:01:23.744992",9,,2012,CMOS_TRI-GATE,0.022,,9,,metal,0.8,0,
60,"2014-11-17 00:01:23.756917","2014-11-17 00:01:23.756917",9,,2010,CMOS,0.032,0.018,9,copper,,,0.37,"Ram Krishnamurthy"
61,"2014-11-17 00:01:23.770418","2014-11-17 00:01:23.770418",9,,2007,CMOS,0.045,0.035,9,copper,"high k",,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4418914&tag=1
62,"2014-11-17 00:01:23.784264","2014-11-17 00:01:23.784264",9,P1264,2005,CMOS,0.065,0.035,8,copper,,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1609318
63,"2014-11-17 00:01:23.800032","2014-11-17 00:01:23.800032",9,P1262,2003,CMOS,0.09,0.053,7,copper,,,,ftp://download.intel.com/research/silicon/bohr-idf-091603.pdf
64,"2014-11-17 00:01:23.814529","2014-11-17 00:01:23.814529",9,Px60,2002,CMOS,0.13,0.07,6,,,,,ftp://download.intel.com/research/silicon/bohr-idf-091603.pdf
65,"2014-11-17 00:01:23.828771","2014-11-17 00:01:23.828771",9,P858,1999,CMOS,0.18,0.13,6,aluminum,,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=746320&tag=1
66,"2014-11-17 00:01:23.840850","2014-11-17 00:01:23.840850",9,P856,1997,CMOS,0.25,0.2,5,aluminum,,,,http://download.intel.com/technology/itj/q31998/pdf/p856.pdf
67,"2014-11-17 00:01:23.853398","2014-11-17 00:01:23.853398",9,,1997,CMOS,0.28,,,,,,,
68,"2014-11-17 00:01:23.869044","2014-11-17 00:01:23.869044",9,P854,1994,BICMOS,0.35,0.2,4,,,2.5,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=383414&tag=1
69,"2014-11-17 00:01:23.882923","2014-11-17 00:01:23.882923",9,P854.3,1994,BICMOS,0.35,0.25,4,,,3.3,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=383414&tag=1
70,"2014-11-17 00:01:23.897149","2014-11-17 00:01:23.897149",9,,1994,CMOS,0.6,0.6,4,,,3.3,,
71,"2014-11-17 00:01:23.909860","2014-11-17 00:01:23.909860",9,,1993,CMOS,0.8,0.8,3,,,5,,
72,"2014-11-17 00:01:23.923936","2014-11-17 00:01:23.923936",9,,1992,CMOS,1.2,1.2,2,,,5,,http://www.faqs.org/faqs/pc-hardware-faq/chiplist/part3/
73,"2014-11-17 00:01:23.937778","2014-11-17 00:01:23.937778",9,,1971,PMOS,10,10,2,,,5,,horowitz
74,"2014-11-17 00:01:23.952866","2014-11-17 00:01:23.952866",9,,1974,PMOS,6,6,2,,,5,,horowitz
75,"2014-11-17 00:01:23.978525","2014-11-17 00:01:23.978525",10,,1994,CMOS,0.6,0.6,,,,3.3,,http://en.wikipedia.org/wiki/Motorola_68060
76,"2014-11-17 00:01:23.993424","2014-11-17 00:01:23.993424",10,,1991,CMOS,0.8,0.8,3,,,5,,"The 68040 Processor. 2. Memory Design and Chip"
77,"2014-11-17 00:01:24.006272","2014-11-17 00:01:24.006272",10,,1987,CMOS,1.3,1.3,2,,,5,,http://kmi9000.tripod.com/kmi_proc.htm
78,"2014-11-17 00:01:24.019520","2014-11-17 00:01:24.019520",10,,1984,NMOS,2.25,2.25,,,,5,,http://books.google.com/books?id=6PUH68h45BsC&pg=PA69&lpg=PA69&dq=MC68020+%22hcmos%22+micron&source=bl&ots=ARXXogv7Xb&sig=5tUAsDMV6TSAfEivPX7IstBSpoI&hl=en&ei=DxPxTbPOOpL2swPjk42eDg&sa=X&oi=book_result&ct=result&resnum=1&ved=0CBYQ6AEwAA#v=onepage&q=MC68020%20%22hcmos%22%20micron&f=false
79,"2014-11-17 00:01:24.033306","2014-11-17 00:01:24.033306",10,,1979,NMOS,3.5,3.5,,,,5,,http://en.wikipedia.org/wiki/Motorola_68000
80,"2014-11-17 00:01:24.045794","2014-11-17 00:01:24.045794",10,HiPerMOS5,1999,CMOS,0.22,,,copper,,,,http://www.google.com/url?sa=t&source=web&cd=6&ved=0CD4QFjAF&url=http%3A%2F%2Fwww.motorola.com.cn%2Fsemiconductors%2Fsndf-2002%2FH101-ChuckCorley_SNDF_ASIA_02.pdf&rct=j&q=%22HiPerMOS%22&ei=BVDxTcGdJ4G-sQPC8I2lDg&usg=AFQjCNF__tf7qrTWXP9z91FWAGMjqDU2iw&cad=rja
81,"2014-11-17 00:01:24.060702","2014-11-17 00:01:24.060702",10,HiPerMOS6,2000,CMOS,0.18,,,,,,,
82,"2014-11-17 00:01:24.086069","2014-11-17 00:01:24.086069",11,,2000,CMOS,0.18,,,aluminum,,1.8,,http://en.wikipedia.org/wiki/R10000#R12000
83,"2014-11-17 00:01:24.101608","2014-11-17 00:01:24.101608",11,,1995,CMOS,0.35,0.35,4,,,3.3,,http://en.wikipedia.org/wiki/R4000#R4400
84,"2014-11-17 00:01:24.114012","2014-11-17 00:01:24.114012",11,,1992,CMOS,0.6,0.6,2,,,3.3,,http://en.wikipedia.org/wiki/R4000#R4400
85,"2014-11-17 00:01:24.128079","2014-11-17 00:01:24.128079",11,,1991,CMOS,0.8,0.8,2,,,5,,http://en.wikipedia.org/wiki/R4000
86,"2014-11-17 00:01:24.145478","2014-11-17 00:01:24.145478",11,,1988,CMOS,1.2,1.2,2,aluminum,,5,,http://en.wikipedia.org/wiki/R3000
87,"2014-11-17 00:01:24.159647","2014-11-17 00:01:24.159647",11,,2001,CMOS,0.13,,5,copper,,,,http://en.wikipedia.org/wiki/R10000#R14000
88,"2014-11-17 00:01:24.171791","2014-11-17 00:01:24.171791",11,,2001,CMOS,0.13,,7,copper,,,,http://en.wikipedia.org/wiki/R10000#R14000A
89,"2014-11-17 00:01:24.199249","2014-11-17 00:01:24.199249",12,,2001,CMOS,0.18,0.1,,aluminum,,1.7,,http://alasir.com/articles/alpha_history/alpha_21264.html
90,"2014-11-17 00:01:24.213704","2014-11-17 00:01:24.213704",12,,1998,CMOS,0.25,0.25,,,,2,,http://alasir.com/articles/alpha_history/alpha_21264.html
91,"2014-11-17 00:01:24.227654","2014-11-17 00:01:24.227654",12,,1998,CMOS,0.28,0.28,,,,2.5,,http://en.wikipedia.org/wiki/Alpha_21164#Alpha_21164_.28EV56.29
92,"2014-11-17 00:01:24.253355","2014-11-17 00:01:24.253355",13,,1991,BICMOS,0.8,0.8,2,,,5,,http://en.wikipedia.org/wiki/SuperSPARC
93,"2014-11-17 00:01:24.265839","2014-11-17 00:01:24.265839",13,,1991,CMOS,0.8,0.8,2,,,,,http://findarticles.com/p/articles/mi_m0EKF/is_n1955_v39/ai_13756271/
94,"2014-11-17 00:01:24.279035","2014-11-17 00:01:24.279035",13,,1993,CMOS,0.65,0.65,3,,,,,http://www.cpushack.com/chippics/Cyrix/8048x/CyrixCx486DX2-V66GP.html
95,"2014-11-17 00:01:24.291819","2014-11-17 00:01:24.291819",13,,2005,CMOS,0.09,0.053,9,copper,,1.1,,http://en.wikipedia.org/wiki/UltraSPARC_T1#Physical_characteristics
96,"2014-11-17 00:01:24.304754","2014-11-17 00:01:24.304754",13,,2007,CMOS,0.065,0.035,11,,,1.1,,http://en.wikipedia.org/wiki/UltraSPARC_T2
97,"2014-11-17 00:01:24.317262","2014-11-17 00:01:24.317262",13,EPIC-3,1995,CMOS,0.5,0.5,4,,,,,http://en.wikipedia.org/wiki/UltraSPARC#Fabrication
98,"2014-11-17 00:01:24.332189","2014-11-17 00:01:24.332189",13,,1997,CMOS,0.35,0.35,5,,,2.5,,http://en.wikipedia.org/wiki/UltraSPARC_II
99,"2014-11-17 00:01:24.344471","2014-11-17 00:01:24.344471",13,,1999,CMOS,0.25,0.25,,,,,,http://en.wikipedia.org/wiki/UltraSPARC_II
100,"2014-11-17 00:01:24.357510","2014-11-17 00:01:24.357510",13,C07a,,CMOS,0.18,,6,aluminum,,,,http://en.wikipedia.org/wiki/UltraSPARC_III#Physical
101,"2014-11-17 00:01:24.371881","2014-11-17 00:01:24.371881",13,GS30,2000,CMOS,0.18,0.15,5,aluminum,,,,http://focus.ti.com/general/docs/asic/asicgen.tsp?navigationId=9606&templateId=5705&path=templatedata/cm/asicgen/data/gs30
102,"2014-11-17 00:01:24.385986","2014-11-17 00:01:24.385986",13,,2001,CMOS,0.13,,6,aluminum,,,,http://en.wikipedia.org/wiki/UltraSPARC_III#Physical
103,"2014-11-17 00:01:24.399211","2014-11-17 00:01:24.399211",13,,,CMOS,0.13,,7,copper,,,,http://en.wikipedia.org/wiki/UltraSPARC_III#UltraSPARC_IIIi
104,"2014-11-17 00:01:24.425390","2014-11-17 00:01:24.425390",14,,1998,CMOS,0.25,0.25,4,aluminum,,2.5,,http://en.wikipedia.org/wiki/R10000#R12000
105,"2014-11-17 00:01:24.440687","2014-11-17 00:01:24.440687",14,,1994,CMOS,0.3,0.3,,,,,,http://en.wikipedia.org/wiki/R4000#R4400
106,"2014-11-17 00:01:24.454262","2014-11-17 00:01:24.454262",14,,1986,CMOS,2,2,2,,,5,,http://en.wikipedia.org/wiki/R2000_%28microprocessor%29
107,"2014-11-17 00:01:24.467767","2014-11-17 00:01:24.467767",14,VHMOSIII,1994,CMOS,0.7,0.7,3,,,3.3,,http://en.wikipedia.org/wiki/R8000#Physical
108,"2014-11-17 00:01:24.493817","2014-11-17 00:01:24.493817",15,,,CMOS,0.09,,10,copper,,,,http://en.wikipedia.org/wiki/SPARC64_V#SPARC64_V.2B
109,"2014-11-17 00:01:24.516674","2014-11-17 00:01:24.516674",15,,,CMOS,0.13,,8,copper,,,,http://en.wikipedia.org/wiki/SPARC64_V#cite_ref-9
110,"2014-11-17 00:01:24.545401","2014-11-17 00:01:24.545401",16,,2000,CMOS,0.18,0.1,6,,,2.2,,http://sandpile.org/impl/m2c3.htm
